team,team_efficiency,rest_days,betting_volume,win,game_date,score,season
Nets,1.0017724402314243,2,1835,0,2025-02-01,121,2024-2025
76ers,0.8354416965794625,4,3005,0,2025-02-01,121,2024-2025
Lakers,1.1944273774884018,5,5391,0,2025-02-01,117,2024-2025
Warriors,1.183852530311424,5,9352,1,2025-02-01,121,2024-2025
Heat,0.9322243638177106,1,5067,1,2025-02-01,122,2024-2025
Suns,0.9708219518154908,1,4766,0,2025-02-01,98,2024-2025
Mavericks,1.0940904576241646,1,8450,1,2025-02-01,112,2024-2025
Bucks,0.8575145520884018,3,6989,0,2025-02-01,85,2024-2025
76ers,1.039576607517768,2,7984,0,2025-01-31,98,2024-2025
Bucks,1.0536094094254271,4,1407,1,2025-01-31,124,2024-2025
Lakers,0.9101835652026512,1,8767,1,2025-01-31,128,2024-2025
Mavericks,1.1573862911108397,1,7677,0,2025-01-31,126,2024-2025
Celtics,1.154606891957108,4,2958,0,2025-01-31,93,2024-2025
Heat,1.0797249306224237,2,4181,1,2025-01-31,127,2024-2025
Nets,1.1177736476779605,4,1566,0,2025-01-31,112,2024-2025
Warriors,1.138305658035963,4,8204,1,2025-01-31,125,2024-2025
Warriors,1.162239081274103,2,2203,0,2025-01-30,85,2024-2025
Lakers,0.9139955507194206,2,7330,1,2025-01-30,96,2024-2025
Nuggets,1.0130059678674996,4,2624,1,2025-01-30,104,2024-2025
Suns,0.8346571076202934,2,6161,0,2025-01-30,94,2024-2025
Heat,1.010517480380669,3,2403,1,2025-01-30,109,2024-2025
Mavericks,0.9634728460535988,4,6653,0,2025-01-30,98,2024-2025
Celtics,1.1793422242853324,3,8339,0,2025-01-30,98,2024-2025
Bucks,1.0243756306210432,1,8183,1,2025-01-30,117,2024-2025
Nets,0.8518605546319122,5,2988,0,2025-01-30,87,2024-2025
76ers,0.9705163119631254,2,4406,1,2025-01-30,126,2024-2025
Suns,0.8480787509920886,2,5230,0,2025-01-29,105,2024-2025
76ers,1.1409777285842284,5,1440,0,2025-01-29,89,2024-2025
Nuggets,1.1784376525647788,3,2484,0,2025-01-29,107,2024-2025
Mavericks,0.9263149538684188,5,6825,1,2025-01-29,124,2024-2025
Heat,0.824039908775225,2,2017,1,2025-01-29,91,2024-2025
Celtics,1.1294269155917886,2,1776,1,2025-01-29,122,2024-2025
Nets,0.9368238272854664,4,9696,1,2025-01-29,124,2024-2025
Bucks,1.0365290428423253,1,4920,0,2025-01-29,85,2024-2025
Nuggets,1.17085844399552,1,6464,1,2025-01-28,111,2024-2025
Celtics,1.1494863032320342,3,2604,0,2025-01-28,98,2024-2025
Suns,1.1252607179203078,5,8073,0,2025-01-28,91,2024-2025
76ers,0.894035160567241,5,7752,1,2025-01-28,129,2024-2025
Bucks,0.8249373136395847,3,2018,0,2025-01-28,96,2024-2025
Mavericks,0.8012124587931734,4,2096,1,2025-01-28,99,2024-2025
Warriors,1.006288894019691,2,9829,0,2025-01-28,104,2024-2025
Nets,1.0437758780902435,3,6875,1,2025-01-28,123,2024-2025
Mavericks,0.8643964889521105,2,6114,1,2025-01-27,125,2024-2025
Bucks,1.031076483157061,4,7771,0,2025-01-27,106,2024-2025
Suns,1.051218042505024,5,5609,1,2025-01-27,115,2024-2025
Lakers,1.0344142161168397,4,4344,0,2025-01-27,110,2024-2025
Nets,1.169513776706963,5,6180,1,2025-01-27,128,2024-2025
Nuggets,1.0229752968913397,2,4244,0,2025-01-27,113,2024-2025
Warriors,0.8167286704848316,4,2871,0,2025-01-27,93,2024-2025
76ers,1.0612182115961466,4,4115,1,2025-01-27,103,2024-2025
Celtics,1.0944941122727143,2,6988,0,2025-01-27,104,2024-2025
Heat,1.1132118811031075,3,4885,1,2025-01-27,114,2024-2025
Nuggets,0.9312385956411754,4,1904,0,2025-01-26,102,2024-2025
Nets,1.065211977631458,5,3219,1,2025-01-26,121,2024-2025
Lakers,1.142501816928969,1,8017,1,2025-01-26,111,2024-2025
76ers,1.0476760284253197,1,4580,0,2025-01-26,106,2024-2025
Mavericks,0.8432333215673743,4,4828,0,2025-01-26,96,2024-2025
Warriors,0.8519823036461851,3,9788,1,2025-01-26,117,2024-2025
Celtics,0.9843696813031692,1,9613,1,2025-01-26,110,2024-2025
Heat,1.0345052727629804,2,1982,0,2025-01-26,87,2024-2025
Suns,1.1641046667212287,2,5863,1,2025-01-26,121,2024-2025
Bucks,1.0820505227989092,4,6763,0,2025-01-26,116,2024-2025
Heat,0.8503385478283896,1,4759,0,2025-01-25,101,2024-2025
Mavericks,0.9196068258507324,4,6160,0,2025-01-25,90,2024-2025
Warriors,0.9597294471634276,2,4682,0,2025-01-25,90,2024-2025
Suns,1.0177617709114106,3,8722,1,2025-01-25,127,2024-2025
Celtics,0.8691752410592775,1,2106,0,2025-01-25,109,2024-2025
76ers,0.9206526540731728,2,5847,1,2025-01-25,105,2024-2025
Nuggets,1.0933053983682228,1,4698,0,2025-01-25,98,2024-2025
Bucks,1.0749641201906632,3,3208,1,2025-01-25,121,2024-2025
76ers,0.9275627650791916,3,5414,1,2025-01-24,107,2024-2025
Lakers,1.0086818645127635,2,9940,0,2025-01-24,97,2024-2025
Bucks,1.103446613684326,5,2173,1,2025-01-24,118,2024-2025
Warriors,0.9038404622684976,2,8105,0,2025-01-24,114,2024-2025
Nets,0.8510640506053576,1,8234,1,2025-01-24,112,2024-2025
Suns,0.8608053180835059,1,2055,0,2025-01-24,106,2024-2025
Nuggets,1.006396893769011,3,2154,1,2025-01-24,100,2024-2025
Heat,1.06517043947419,4,5550,0,2025-01-24,89,2024-2025
Nets,0.820089281378759,5,2979,1,2025-01-23,115,2024-2025
76ers,1.0092916892449144,1,6079,0,2025-01-23,117,2024-2025
Celtics,1.1456106416213774,4,9341,1,2025-01-23,128,2024-2025
Warriors,0.8669781028455172,4,4292,0,2025-01-23,109,2024-2025
Suns,1.0847296406024836,5,3138,1,2025-01-23,113,2024-2025
Mavericks,0.933918011702392,4,8465,0,2025-01-23,107,2024-2025
Nuggets,0.8151518828893641,2,6907,0,2025-01-23,122,2024-2025
Bucks,0.8386243346063992,3,7212,0,2025-01-23,113,2024-2025
Heat,1.1192364998191413,2,5751,1,2025-01-23,114,2024-2025
Lakers,0.9991797614967456,3,9410,1,2025-01-23,124,2024-2025
Mavericks,0.8465170491616327,2,2774,1,2025-01-22,105,2024-2025
Nets,0.9596760934866904,1,9547,0,2025-01-22,127,2024-2025
Lakers,1.067459705850216,2,6757,1,2025-01-22,128,2024-2025
76ers,1.0929620473317398,5,5355,0,2025-01-22,87,2024-2025
Heat,1.0672552791447134,5,9252,0,2025-01-22,87,2024-2025
Warriors,1.012219858567538,2,1408,1,2025-01-22,94,2024-2025
Nuggets,0.8760346492944919,4,7954,0,2025-01-22,93,2024-2025
Celtics,1.159848558342723,2,8457,1,2025-01-22,101,2024-2025
Warriors,0.9391545772846972,4,1057,0,2025-01-21,88,2024-2025
Suns,1.127052049247678,4,1658,0,2025-01-21,109,2024-2025
Heat,0.9645974036806966,5,6742,1,2025-01-21,127,2024-2025
Nuggets,1.1989660539214704,2,2930,1,2025-01-21,104,2024-2025
Bucks,0.9722636377087904,1,4121,0,2025-01-21,87,2024-2025
76ers,1.1178212701886217,2,2238,1,2025-01-21,119,2024-2025
Lakers,0.8806533008490524,3,9924,1,2025-01-21,104,2024-2025
Nets,0.8757707432505959,4,5090,0,2025-01-21,87,2024-2025
Bucks,1.1635577696046082,3,5891,1,2025-01-20,125,2024-2025
Mavericks,1.1493932335819417,4,8280,0,2025-01-20,111,2024-2025
Nets,0.9172166837960692,2,1835,0,2025-01-20,96,2024-2025
76ers,0.8716241846818122,1,6666,1,2025-01-20,110,2024-2025
Nuggets,0.8573479974467435,3,8173,0,2025-01-20,86,2024-2025
Lakers,0.9948514527563308,1,8756,1,2025-01-20,97,2024-2025
Suns,0.9573608017180716,2,7940,0,2025-01-20,101,2024-2025
Heat,0.9695543478076292,5,6738,1,2025-01-20,114,2024-2025
Suns,0.939425517050544,4,2735,1,2025-01-19,122,2024-2025
Lakers,0.8884143435360874,5,7461,0,2025-01-19,102,2024-2025
Heat,0.8959466799166621,4,8144,0,2025-01-19,102,2024-2025
76ers,1.1025075960008972,2,3251,1,2025-01-19,123,2024-2025
Bucks,1.067913673340268,2,1185,1,2025-01-19,123,2024-2025
Nets,0.8964267041310399,5,5435,0,2025-01-19,122,2024-2025
